"old","new"
"1111","111101"
"1111","111102"
"1111","111103"
"1112","111201"
"1112","111202"
"1112","111301"
"1121","111402"
"1122","111401"
"1122","111403"
"1122","111404"
"1123","111405"
"1211","112007"
"1211","112016"
"1211","112017"
"1211","112019"
"1212","112002"
"1212","112013"
"1212","112001"
"1212","112006"
"1212","112008"
"1212","112009"
"1212","112010"
"1212","112014"
"1212","112005"
"1212","112012"
"1212","112015"
"1212","112003"
"1212","112004"
"1212","112011"
"1212","112090"
"1212","112018"
"1221","131101"
"1221","131201"
"1221","131103"
"1222","132101"
"1222","132103"
"1222","132201"
"1222","132202"
"1222","132204"
"1222","132203"
"1223","132301"
"1224","142001"
"1224","142002"
"1224","522201"
"1224","522202"
"1225","141101"
"1225","141201"
"1226","133002"
"1227","134603"
"1227","134604"
"1227","134605"
"1228","143990"
"1229","134502"
"1229","143103"
"1229","143104"
"1229","134403"
"1229","134202"
"1229","134503"
"1229","134205"
"1229","134990"
"1231","121101"
"1231","121302"
"1231","121901"
"1231","121103"
"1232","121201"
"1232","121202"
"1232","121203"
"1233","122101"
"1233","122102"
"1234","122202"
"1235","132401"
"1235","132402"
"1235","132403"
"1235","132404"
"1236","133001"
"1236","133007"
"1237","122301"
"1237","122302"
"1237","133005"
"1237","133006"
"1239","121301"
"1239","334101"
"1239","132102"
"1239","143906"
"1239","121303"
"1239","121990"
"1239","133090"
"1311","612202"
"1311","611302"
"1311","613002"
"1311","611201"
"1311","611401"
"1311","611101"
"1311","612109"
"1311","131102"
"1311","131202"
"1312","132104"
"1313","132302"
"1314","143903"
"1314","142003"
"1314","142004"
"1314","522103"
"1315","143101"
"1315","143901"
"1315","141102"
"1315","141103"
"1315","143908"
"1315","143109"
"1315","143110"
"1315","141202"
"1315","143112"
"1315","141104"
"1315","143114"
"1315","143115"
"1316","132407"
"1316","132405"
"1316","132406"
"1316","133004"
"1317","121102"
"1317","134601"
"1317","122201"
"1317","134602"
"1317","143902"
"1317","143904"
"1317","143905"
"1317","134904"
"1317","134905"
"1317","121902"
"1317","122103"
"1317","121204"
"1317","133003"
"1317","134690"
"1318","134903"
"1318","143907"
"1318","121903"
"1319","134901"
"1319","134501"
"1319","134902"
"1319","134204"
"1319","143102"
"1319","134101"
"1319","134401"
"1319","143105"
"1319","134402"
"1319","134301"
"1319","143106"
"1319","134201"
"1319","143107"
"1319","143108"
"1319","143111"
"1319","134404"
"1319","134203"
"1319","134102"
"1319","143116"
"1319","134103"
"1319","134104"
"1319","143990"
"1319","143190"
"1319","134190"
"2111","211101"
"2111","211102"
"2111","211103"
"2112","211201"
"2112","211202"
"2112","211203"
"2113","211301"
"2113","211302"
"2114","211401"
"2114","211402"
"2114","211403"
"2114","211404"
"2114","211405"
"2114","211406"
"2114","211490"
"2121","212001"
"2121","212002"
"2121","212090"
"2122","212003"
"2122","212004"
"2131","252101"
"2131","351401"
"2131","351402"
"2131","252203"
"2131","252201"
"2131","252202"
"2131","252290"
"2131","252102"
"2131","251101"
"2131","252302"
"2131","251302"
"2131","252103"
"2131","251201"
"2131","251202"
"2131","251303"
"2131","251102"
"2131","251990"
"2131","251290"
"2131","251103"
"2132","251401"
"2132","251301"
"2132","351404"
"2132","251990"
"2139","252301"
"2139","252901"
"2139","251902"
"2139","262202"
"2139","251901"
"2139","262205"
"2139","351403"
"2139","251903"
"2139","251904"
"2141","216101"
"2141","216201"
"2141","216102"
"2141","216403"
"2141","216202"
"2141","214907"
"2142","214208"
"2142","214201"
"2142","214202"
"2142","214207"
"2142","214204"
"2142","214209"
"2142","214302"
"2142","214303"
"2142","214304"
"2142","214305"
"2142","214306"
"2142","214307"
"2142","242211"
"2142","214203"
"2142","214205"
"2142","214206"
"2142","214301"
"2142","214390"
"2142","214290"
"2143","215101"
"2143","215103"
"2143","215104"
"2143","215102"
"2143","215190"
"2144","215202"
"2144","215201"
"2144","215204"
"2144","215301"
"2144","215302"
"2145","214402"
"2145","214403"
"2145","214404"
"2145","214405"
"2145","214406"
"2145","214407"
"2145","214409"
"2145","214410"
"2145","214401"
"2145","214408"
"2145","214490"
"2146","214501"
"2146","214502"
"2146","214590"
"2147","214601"
"2147","214602"
"2147","214603"
"2147","214604"
"2147","214605"
"2147","214606"
"2147","214923"
"2147","214607"
"2147","214690"
"2148","216501"
"2148","216502"
"2148","216503"
"2148","216504"
"2148","216505"
"2148","216506"
"2148","216507"
"2148","216508"
"2148","216590"
"2149","228201"
"2149","214902"
"2149","214903"
"2149","214905"
"2149","214908"
"2149","214109"
"2149","214101"
"2149","214102"
"2149","214103"
"2149","214909"
"2149","214910"
"2149","243301"
"2149","214912"
"2149","214913"
"2149","214914"
"2149","214915"
"2149","214916"
"2149","214104"
"2149","214106"
"2149","215202"
"2149","214919"
"2149","214921"
"2149","214922"
"2149","214107"
"2149","228203"
"2149","214925"
"2149","216402"
"2149","214901"
"2149","214911"
"2149","214904"
"2149","214906"
"2149","216401"
"2149","214917"
"2149","214918"
"2149","214105"
"2149","214920"
"2149","214990"
"2149","214190"
"2149","214108"
"2149","214924"
"2149","214926"
"2149","214110"
"2211","213101"
"2211","213105"
"2211","213301"
"2211","213302"
"2211","213107"
"2211","213108"
"2211","227211"
"2211","213190"
"2212","213106"
"2213","213102"
"2213","213103"
"2213","211104"
"2213","213104"
"2221","213201"
"2221","213202"
"2221","213203"
"2221","213204"
"2221","213205"
"2221","213206"
"2221","213207"
"2221","213303"
"2221","213208"
"2221","213290"
"2221","213209"
"2222","228402"
"2222","214503"
"2222","228401"
"2231","221201"
"2231","221202"
"2231","221203"
"2231","221204"
"2231","221205"
"2231","221206"
"2231","221207"
"2231","221208"
"2231","221209"
"2231","221210"
"2231","221211"
"2231","221212"
"2231","221213"
"2231","221214"
"2231","221215"
"2231","221216"
"2231","221217"
"2231","221218"
"2231","221219"
"2231","221220"
"2231","221221"
"2231","221222"
"2231","221223"
"2231","221224"
"2231","221226"
"2231","221228"
"2231","221229"
"2231","221230"
"2231","221231"
"2231","221232"
"2231","221233"
"2231","221234"
"2231","221235"
"2231","221236"
"2231","221237"
"2231","221238"
"2231","221239"
"2231","221240"
"2231","221241"
"2231","221242"
"2231","221243"
"2231","221244"
"2231","221245"
"2231","221247"
"2231","221248"
"2231","221249"
"2231","221250"
"2231","221251"
"2231","221253"
"2231","221254"
"2231","221255"
"2231","221256"
"2231","221257"
"2231","221258"
"2231","221259"
"2231","221260"
"2231","221261"
"2231","221262"
"2231","221263"
"2231","221264"
"2231","221265"
"2231","221266"
"2231","221268"
"2231","221225"
"2231","221227"
"2231","221246"
"2231","221252"
